nonorg,org
60000018,60014439
60000030,60021918
60000209,60022659
60000592,60015574
60000650,60009982
60000942,60016459
60001308,60005455
60001989,60032280
60002243,60022195
60002388,60028510
60002746,60009982
60003623,60023612
60003711,60006297
60005053,60025111
60005558,60005559
60006183,60005248
60006303,60009982
60006322,60007278
60006332,60009982
60006404,60000305
60006539,60030162
60006558,60002494
60007200,60025778
60007267,60010756
60007541,60029278
60007653,60023927
60008308,60013791
60008499,60001526
60008772,60029445
60009120,60023612
60009796,60011460
60010078,60021658
60010363,60031828
60010417,60012708
60010783,60008827
60012769,60030162
60013223,60029445
60013894,60014313
60013910,60025488
60013994,60029311
60014228,60022195
60015112,60017672
60015140,60003500
60015183,60029311
60015271,60026553
60015802,60006297
60016401,60032205
60016509,60024009
60016660,60025778
60016897,60022265
60017072,60010756
60017150,60009982
60017717,60025111
60017994,60005455
60019169,60010365
60019595,60009408
60019666,60009982
60020134,60025704
60020928,60012708
60021068,60003915
60021134,60017672
60021212,60005248
60022452,60006297
60022693,60033021
60023279,60018319
60023299,60103653
60023563,60009982
60024178,60119141
60024261,60020304
60024541,60021784
60024826,60010348
60025315,60000928
60025597,60029278
60025786,60005248
60027017,60025778
60027031,60004130
60027436,60020304
60027462,60026851
60027552,60030162
60027646,60027576
60028089,60018179
60028591,60031828
60028843,60025084
60028883,60033320
60028970,60119141
60029503,60119141
60029819,60009982
60030563,60028392
60032302,60003088
60032497,60003500
60032838,60012708
60032935,60032280
60068899,60029543
60072522,60025038
60073778,60010261
60075452,60003269
60076581,60010756
60076794,60025111
60078684,60020304
60079654,60031875
60082770,60009507
60083141,60025949
60085099,60104562
60089893,60009507
60090281,60016849
60090931,60024324
60092444,60019499
60093261,60000221
60097292,60020304
60097414,60031707
60098091,60012387
60098179,60030162
60099658,60029311
60100031,60031101
60100632,60031101
60103124,60015747
60103279,60016087
60105207,60023020
60105766,60030506
60106351,60083821
60106384,60031828
60107351,60032942
60107358,60007363
60108316,60021784
60108319,60021784
60108320,60021784
60109020,60017311
60109559,60027550
60109567,60029251
60109771,60022148
60111502,60031101
60112528,60029747
60112541,60016849
60112612,60028378
60112638,60017145
60112639,60026851
60112748,60029278
60112768,60031101
60112831,60016293
60112832,60016293
60112834,60016293
60114130,60071271
60114736,60001741
60115484,60022020
60115894,60017145
60115972,60017145
60116070,60009415
60116107,60001490
60116134,60010261
60116229,60013983
60116234,60027950
60116247,60001439
60116251,60009254
60116255,60005837
60116269,60000928
60116316,60005286
60116364,60015481
60116379,60003892
60116392,60021918
60116407,60028628
60116416,60023927
60116471,60013372
60116478,60030835
60116484,60015150
60116489,60003915
60116490,60026479
60116494,60007278
60116516,60003500
60116524,60019674
60116608,60008724
60116612,60000305
60116635,60007776
60116650,60003088
60116662,60019647
60116749,60023643
60116864,60009860
60117041,60022148
60117157,60007511
60117688,60029278
60117718,60029278
60117763,60029278
60117786,60023643
60117791,60023643
60117804,60029278
60118346,60030551
60118347,60030551
60118480,60005510
60119111,60033420
60119172,60119141
60119175,60119141
60119186,60026553
60119484,60011001
60119544,60025371
60119548,60025371
60119762,60031101
60119960,60119141
60120185,60119141
60120362,60013682
60120390,60119141
60120489,60119141
60120741,60031101
60121333,60025038
60121376,60025038
60121413,60025038
60121421,60025038
60121512,60030612
60121526,60030612
60122426,60016247
60122488,60007652
60122501,60025111
60122525,60031892
60122540,60005248
60122549,60012317
60122553,60018474
60122589,60007566
60122592,60027392
60122593,60016251
60122604,60031707
60122641,60023004
60122713,60002162
60122730,60029526
60122739,60010065
60122749,60023517
60122753,60027165
60122759,60014662
60122764,60000135
60122769,60013959
60122800,60004862
60122853,60025278
60123158,60021508
60123369,60025084
60123664,60021285
60123801,60015720
60123802,60029445
60124490,60014966
60134791,60000745
60134793,60029747
60134842,60022522
60134867,60000060
60136292,60025488
60138278,60021121
60138334,60007801
60138401,60018250
60138430,60002272
60138438,60032179
60138449,60020547
60138679,60009668
60138810,60031117
60138820,60007363
60159411,60018208
60159673,60006514
60159724,60012622
60159917,60008950
60160138,60000112
60160279,60031004
60160420,60014925
60161470,60025997
60162041,60162040
60162042,60012461
60162130,60009016
60170432,60023998
60175816,60026851
60175871,100420843
60176042,60018805
60176066,60014652
60176940,60004976
60177689,60023462
60180326,60010571
60183197,60006541
60185896,60006925
60189515,60032987
60189551,60023932
60189736,60000521
60190890,60028333
60192968,60015881
60193403,60028897
60196596,60072089
60199399,60071236
60199519,60022317
60199559,60019087
60204087,60071323
60211266,60014237
60211364,60002316
60211441,60032144
60211585,60024872
60211760,60000481
60211903,60020351
60211934,60004424
60212025,60005273
60212277,60009506
60212408,60009602
60212462,60008665
60212476,60070791
60212546,60001741
60222522,60032942
60227737,60070813
60238182,60005429
60242129,60000239
60243382,60010294
60246647,60016912
60250857,60016912
60251089,60016653
60256697,60013983
60257349,100365550
60273994,60010261
100322650,60081224
100323601,60023691
100324532,60019871
100327322,60082963
100337952,60112315
100360830,60015481
100360845,60007566
100361404,60081224
100387285,60032775
100404831,60006602
100407962,60021406
100409528,60076285
100413778,60021658
100424163,60000840
100442328,60022195
100471364,60016621
100486282,60099025
100502413,60029611
100504135,60008088
100529186,60010534
100549923,60030931
100553286,100416946
100580394,60029611
100604716,60004354
100617563,101323568
100625129,60028395
100662409,60072720
100722448,60017435
100727970,60001466
100735801,60023371
100743755,60000840
100745859,100373721
100757601,60024915
100773782,60028558
100776654,60100905
100822943,60004888
100831539,60016293
100836516,60016621
100842994,60016621
100846446,60027550
100848772,100611346
100851932,60009563
100922299,60016621
100927963,60015457
100957978,60032706
100971989,60053707
100975961,60014543
100996021,60030591
101003126,60028628
101004641,60015481
101013237,60092432
101036098,60016621
101048518,60072717
101050360,100337969
101129954,60027567
101131338,60003873
101165770,60032280
101209778,60002583
101228874,60002177
101269519,60122523
101289280,60090137
101350293,60007893
101389329,60016621
101440719,60032179
101454543,60016621
101469921,60032903
101521844,60021001
101562844,60005455
101632061,60007893
101634916,60198618
101635136,60020337
101639617,60021001
101659468,100758390
101665014,100370425
101700483,60028726
101702040,60020337
101709593,60002583
101709898,60010884
101725124,60079687
101762832,60023612
101779495,60023691
101784250,60016621
101812731,100459031
101845962,60028558
101872593,60019735
101887631,106795955
101908034,60027279
101908266,101258406
101922137,119023886
101945155,60007776
101975591,60116751
101982378,60022559
102021487,60018495
102040229,60011045
102054466,107995953
102059932,60004888
102075007,60016621
102081115,60020337
104900189,102075562
105290533,60005455
105378973,60024915
105464064,60088053
105560318,60021406
105567750,60021406
105578040,60003553
105636559,60032004
105637949,60021001
105771688,60032179
105799631,60028395
105821911,60018933
105850749,60022195
105876393,60020337
105888448,60092432
105901125,60071937
105901990,60005183
105908777,60012403
105919295,60016621
106020596,60030591
106076356,60007893
106127911,60025038
106291608,60016621
106415529,60021406
106419123,60016293
106420350,60020337
106423226,60013143
106445751,108191123
106455149,60003873
106543690,60006890
106637423,60016621
106643683,60015574
106737567,60030074
106742319,60027567
106925122,60003873
106995564,60021406
107019022,60023927
107063998,60006890
107088923,60019735
107111504,60012156
107142562,102075562
107173532,60024510
107222730,60016293
107573116,60000745
107887238,60020059
107894246,60024915
107918811,60103931
107920927,60112315
107930948,60003873
107945687,60025949
107965459,60029311
107978264,108243831
108043518,60023755
108111302,60021406
108121853,60022195
108140573,60007161
108213271,60029472
108256367,60029311
108353525,60032373
108355828,60028558
108364039,60011256
108364304,60007869
108386743,60015747
108386968,60105348
108420640,60027486
108431786,60024983
108498010,60021406
108789215,60007893
108868009,60028395
108888694,60026553
108908151,60003873
109041390,60004354
109410516,60017036
109454125,60022195
109475612,60086760
109491169,60025371
109494230,60004182
109496760,60003942
109502621,60032280
109512015,60025778
109583076,60025371
109622394,60027567
109849612,60013143
109849869,100581951
109993806,105852058
110005183,60007893
110044338,60092432
110095412,60024886
110109794,60012708
110135527,60069326
110177982,60007241
110259857,60025452
110275520,60096722
110425984,60019735
110585930,60018468
110745293,60017841
110815256,60021406
110816314,60029885
111165295,60012197
111165865,105852058
111195017,100337969
111265333,60079008
111515831,60109587
112055681,60007893
112118261,112117375
112170562,60028395
112184527,60015104
112187121,60028395
112223862,60028558
112246867,60020722
112252349,60002023
112252857,60005579
112336236,60007163
112351770,60025038
112361269,60016621
112429678,60028558
112443650,60007893
112541706,60007869
112585185,60000840
112600702,60081224
112620785,100333843
112625685,60007893
112641942,60109908
112651455,101440052
112655961,60030612
112854278,60019735
112868657,60000745
112873576,60096722
112891548,60015574
112905035,101407928
112916327,60032280
112925023,60007161
113039602,60001635
113057216,60003942
113060618,100760548
113079785,60021285
113086620,60016344
113125751,60024915
113131646,60010546
113158470,100459031
113166381,60023697
113209084,60013830
113363948,60007893
113401955,60027550
113416250,60027550
113416520,60088692
113467433,60023197
113657426,60257349
113679486,60079687
113740732,60014237
113811200,60024915
113966080,60024915
113993410,60010152
114020786,60024993
114022810,60022195
114031610,60016662
114046839,100459031
114093674,60022195
114136722,60094689
114145534,60081224
114322088,60081224
114624485,60016662
114643594,60015457
114741797,60007893
114753529,60007893
114803247,60022332
114833637,60021001
114871591,60003873
115012795,100333843
115014862,60015457
115049749,60003942
115064173,60003942
115396715,60119141
115470789,60015574
115603373,60088692
115723650,60016621
115803044,60022195
115961580,60024983
115990145,60013399
116015055,60024915
116132035,60026627
116277945,60079687
116297590,60106537
116564907,60019743
116662371,60013399
116735456,60073607
117003760,60015195
117132868,60020420
117447142,60013143
117559891,60022195
117704974,117689421
117812829,60022659
117868206,60032971
117974335,60022195
118067291,60007893
118362019,60026994
118423657,101440052
118532265,60023020
118591375,60015747
118825849,60026306
119043774,60016621
119162880,60026545
119279259,60020337
119279261,60020337
119279267,60016621
119279451,60016621
119500249,60009387
119541739,118612345
119723923,60099025
119864062,60000583
119865185,60009478
119876188,100559624
119977085,60003553
120073355,60002394
120172421,60000745
120182530,60007893
120320206,60023612
120330891,60024983
120409110,60029323
120444901,60007893
120544582,60210086
120545213,60030612
120590913,60078288
120627598,106580505
120665951,60007893
120689093,60017004
121384836,60007893
121438647,60015747
121482875,60112491
121658055,60015457
122009479,60031593
122215200,60011116
122215250,60011116
122218748,60021406
122276023,60021406
122297322,60000745
122297334,60000745
122297471,60000745
122305274,60000745
122321091,60015574
122443788,60015457
122447286,60015457
122482858,60007161
122498283,100760548
122652584,60069326
122652787,60007996
122802345,60096819
122802366,60096819
122850372,101440052
122904374,60032179
122904468,60018933
122908831,60020420
122910533,60016293
122958131,100835855
122961442,60007893
122973566,60025371
122973567,60025371
122976702,60025371
122976827,60025371
123205688,60022606
123265465,60119141
123285669,60119141
123291163,60119141
123451964,100459031
123701300,60019735
123743820,60020420
123743971,60020420
123939070,60027550
123969455,60119141
124033453,60086760
124185099,60004862
124188854,60009635
124194307,60004862
124194419,60004862
124242720,60025778
124252192,60025778
124293622,60001439
124506934,60025371
124775145,60088692
124784697,60033021
124889750,60023612
125058015,60018319
125066198,60022195
125081698,60004182
125171511,60019735
125236411,60025452
125281338,60009226
125331572,60025949
125331862,60028333
125513522,60025778
125754551,60013372
125755456,60008845
125883859,60024983
125953939,60013250
126249472,60089529
126486046,60009226
126498878,60022195
126561814,60032361
126635783,60009226
126659100,60032361
126820399,60111791
127059075,100333843
127224416,60001517
127224429,60008724
127242735,60007996
127807437,60019735
127885700,60029472
127923532,60018208
128507738,60024915
128546039,60016621
128998238,60086558
